feature,importance
previous_loan_defaults_on_file_No,0.7623513
person_home_ownership_RENT,0.04329076
loan_percent_income,0.036458377
loan_int_rate,0.020781586
loan_intent_VENTURE,0.018821744
person_home_ownership_OWN,0.017129667
loan_intent_HOMEIMPROVEMENT,0.014115043
loan_intent_MEDICAL,0.012405224
loan_intent_DEBTCONSOLIDATION,0.012147938
person_income,0.011793175
person_home_ownership_MORTGAGE,0.006998352
loan_intent_EDUCATION,0.0063352645
credit_score,0.0052964035
person_age,0.0036207086
loan_intent_PERSONAL,0.0035949512
person_home_ownership_OTHER,0.0033975681
loan_amnt,0.0032896998
person_education_Master,0.002943239
person_education_Bachelor,0.0027047454
cb_person_cred_hist_length,0.0026426949
person_emp_exp,0.0024990211
person_education_Associate,0.002448381
person_education_High School,0.0023715913
person_gender_female,0.0018534432
person_education_Doctorate,0.0007092055
person_gender_male,0.0
previous_loan_defaults_on_file_Yes,0.0
